marca,modelo,precio,kilometraje,year,combustible,ciudad,cat_combustible,antiguedad_auto,uso_anual_estimado,es_ecologico,categoria_precio,rango_kilometraje,tipo_marca,segmento_depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,43501.0,2025,bencina,santiago,0,1,43501.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14890000.0,25130.0,2025,bencina,santiago,0,1,25130.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,13990000.0,34793.0,2025,bencina,santiago,0,1,34793.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14790000.0,24310.0,2025,bencina,santiago,0,1,24310.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14790000.0,23431.0,2025,bencina,santiago,0,1,23431.0,0,medio,bajo,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,14390000.0,34950.0,2025,bencina,santiago,0,1,34950.0,0,medio,medio,general,baja depreciacion
chevrolet,Tracker 1.2t Ltz R 4x2 At 5p,13990000.0,33698.0,2025,bencina,santiago,0,1,33698.0,0,medio,medio,general,baja depreciacion
chevrolet,Trail Blazer 2.8 Ctdi Premier 4x4 At 5,21490000.0,26793.0,2022,diesel,tarapaca,1,4,6698.25,0,alto,bajo,general,depreciacion media
chevrolet,Traverse 3.6l Lt Fwd At 5p,9490000.0,57154.0,2016,bencina,tarapaca,0,10,5715.4,0,bajo,medio,general,alta depreciacion
chevrolet,Traverse Lt 3.6,22490000.0,113467.0,2020,bencina,atacama,0,6,18911.166666666668,0,alto,alto,general,depreciacion media
chevrolet,Traverse 3.6 Premier Awd,23490000.0,48914.0,2021,bencina,arica y parinacota,0,5,9782.8,0,alto,medio,general,depreciacion media
chevrolet,Traverse 3.6l Rs Awd At 5p,37490000.0,55283.0,2024,bencina,santiago,0,2,27641.5,0,premium,medio,general,depreciacion media
chevrolet,Uplander Ls Van 3.9,4500000.0,198000.0,2009,bencina,santiago,0,17,11647.058823529413,0,bajo,alto,general,alta depreciacion
citroen,C-elysée Hdi 1.6,6590000.0,211201.0,2017,diesel,santiago,1,9,23466.777777777777,0,bajo,alto,general,alta depreciacion
citroen,C-elysse C-elysee 1.6 Manual Hdi 9,8280000.0,90000.0,2019,diesel,santiago,1,7,12857.142857142857,0,bajo,medio,general,depreciacion media
citroen,C4 1.2 Puretech Feel 4x2 130,15790000.0,64898.0,2023,bencina,araucania,0,3,21632.666666666668,0,medio,medio,general,depreciacion media
