precio,kilometraje,anio,combustible_limpio,marca_limpia,modelo_limpio,cat_combustible,cat_marca,cat_modelo,features,scaledFeatures,prediction
9980000.0,38839.0,2022,bencina,chevrolet,captiva 1.5t premier fwd mt 5p,0,0,123,"[9980000.0,38839.0,2022.0,0.0,123.0]","[1.0009786757082966,0.7777664478750016,569.3557498643888,0.0,0.5507600160210768]",3
11590000.0,42015.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[11590000.0,42015.0,2024.0,0.0,55.0]","[1.1624592035530217,0.8413671131457604,569.9189108434831,0.0,0.2462748039118636]",3
11580000.0,28646.0,2024,bencina,chevrolet,onix 1.0t lt r 4x2 hb mt 5p,0,0,208,"[11580000.0,28646.0,2024.0,0.0,208.0]","[1.1614562189080235,0.5736475621367001,569.9189108434831,0.0,0.9313665311575933]",3
11790000.0,40644.0,2024,bencina,chevrolet,onix 1.0t rs r 4x2 hb mt 5p,0,0,55,"[11790000.0,40644.0,2024.0,0.0,55.0]","[1.1825188964529876,0.8139122919599259,569.9189108434831,0.0,0.2462748039118636]",3
29490000.0,45021.0,2024,bencina,audi,a4 2.0 tfsi 35 s-tronic,0,14,297,"[29490000.0,45021.0,2024.0,14.0,297.0]","[2.9578017180999665,0.9015634606910694,569.9189108434831,1.164360036611649,1.3298839411240635]",2
15980000.0,62708.0,2016,bencina,audi,q3,0,14,209,"[15980000.0,62708.0,2016.0,14.0,209.0]","[1.6027694627072724,1.2557526819265583,567.6662669271058,1.164360036611649,0.9358442548650817]",1
104990000.0,15000.0,2025,bencina,audi,sq7 4.0 tfsi quattro 7p,0,14,663,"[104990000.0,15000.0,2025.0,14.0,663.0]","[10.53033578783708,0.3003809757749948,570.2004913330303,1.164360036611649,2.9687308180648286]",2
35490000.0,59341.0,2022,diesel,bmw,520 2.0 heritage lci at 4p r,1,12,280,"[35490000.0,59341.0,2022.0,12.0,280.0]","[3.5595925050989425,1.1883271655642644,569.3557498643888,0.9980228885242706,1.2537626380967601]",2
36990000.0,92340.0,2020,diesel,bmw,x5 xdrive 25d 4x4,1,12,771,"[36990000.0,92340.0,2020.0,12.0,771.0]","[3.7100402018486864,1.849145286870868,568.7925888852944,0.9980228885242706,3.452324978473579]",0
15490000.0,44387.0,2024,bencina,changan,cs55 1.5t elite 4x2 at 5p,0,23,383,"[15490000.0,44387.0,2024.0,23.0,383.0]","[1.5536232151023561,0.8888673581149796,569.9189108434831,1.912877203004852,1.7149681799680685]",0
12480000.0,45050.0,2021,bencina,chery,tiggo 1.5t glx 4x2 cvt at 5p,0,6,153,"[12480000.0,45050.0,2021.0,6.0,153.0]","[1.25172483695787,0.9021441972442344,569.0741693748416,0.4990114442621353,0.6850917272457296]",3
20590000.0,37747.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20590000.0,37747.0,2024.0,6.0,32.0]","[2.0651453840514855,0.7558987128385819,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
20790000.0,36672.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20790000.0,36672.0,2024.0,6.0,32.0]","[2.0852050769514516,0.7343714095747073,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
15690000.0,49258.0,2020,bencina,chevrolet,captiva lt 1.5,0,0,351,"[15690000.0,49258.0,2020.0,0.0,351.0]","[1.573682908002322,0.9864110736483129,568.7925888852944,0.0,1.5716810213284387]",3
12990000.0,76313.0,2022,bencina,chevrolet,captiva 1.5t premier fwd cvt at 5,0,0,348,"[12990000.0,76313.0,2022.0,0.0,348.0]","[1.3028770538527827,1.5281982269544785,569.3557498643888,0.0,1.5582478502059733]",3
16900000.0,22000.0,2022,bencina,chevrolet,captiva 1.5,0,0,347,"[16900000.0,22000.0,2022.0,0.0,347.0]","[1.6950440500471153,0.44055876446999237,569.3557498643888,0.0,1.553770126498485]",3
11950000.0,171331.0,2019,diesel,chevrolet,d-max e5 dcab 4x4 2.5,1,0,395,"[11950000.0,171331.0,2019.0,0.0,395.0]","[1.1985666507729604,3.4309715307003756,568.5110083957472,0.0,1.7687008644579296]",1
9290000.0,78600.0,2020,bencina,chevrolet,prisma ltz,0,0,578,"[9290000.0,78600.0,2020.0,0.0,578.0]","[0.9317727352034143,1.5739963130609729,568.7925888852944,0.0,2.5881243029283123]",0
3290000.0,62245.0,2014,bencina,chevrolet,sail 1.4 lt 4x2 mt 4p,0,0,637,"[3290000.0,62245.0,2014.0,0.0,637.0]","[0.32998194820443844,1.2464809224743034,567.1031059480114,0.0,2.8523100016701295]",1
7490000.0,85010.0,2022,bencina,chevrolet,sail 1.5 4x2 mt 4p,0,0,213,"[7490000.0,85010.0,2022.0,0.0,213.0]","[0.7512354991037216,1.7023591167088206,569.3557498643888,0.0,0.9537551496950354]",3
6990000.0,112401.0,2023,bencina,chevrolet,sail 1.5 4x2 mt 4p,0,0,213,"[6990000.0,112401.0,2023.0,0.0,213.0]","[0.7010862668538069,2.250874803872346,569.6373303539359,0.0,0.9537551496950354]",3
8090000.0,31825.0,2023,bencina,chevrolet,sail 1.5 ls smart 4x2 mt 4p,0,0,638,"[8090000.0,31825.0,2023.0,0.0,638.0]","[0.8114145778036191,0.6373083036026139,569.6373303539359,0.0,2.8567877253776177]",0
10990000.0,18009.0,2024,bencina,chevrolet,onix 1.0t ltz p2 4x2 hb mt 5p,0,0,559,"[10990000.0,18009.0,2024.0,0.0,559.0]","[1.1022801248531242,0.36063739951545876,569.9189108434831,0.0,2.503047552486032]",0
11980000.0,279631.0,1997,bencina,chevrolet,tahoe 5.7,0,0,680,"[11980000.0,279631.0,1997.0,0.0,680.0]","[1.201575604707955,5.599722175795838,562.3162376257094,0.0,3.044852121092132]",1
25490000.0,96367.0,2019,bencina,chevrolet,silverado 5.3 lt 4wd ext z71 dob. c,0,0,642,"[25490000.0,96367.0,2019.0,0.0,642.0]","[2.5566078601006494,1.9297875661672617,568.5110083957472,0.0,2.8746986202075715]",0
40980000.0,29509.0,2023,bencina,chevrolet,silverado 6.2 zr2 4x4 at 4p,0,0,643,"[40980000.0,29509.0,2023.0,0.0,643.0]","[4.110231075203005,0.5909294809429548,569.6373303539359,0.0,2.87917634391506]",2
42800000.0,31976.0,2024,bencina,chevrolet,silverado 6.2 zr2 auto dc 4wd,0,0,644,"[42800000.0,31976.0,2024.0,0.0,644.0]","[4.2927742805926945,0.640332138758749,569.9189108434831,0.0,2.8836540676225484]",2
8300000.0,71606.0,2019,bencina,chevrolet,spin 1.8 ltz 4x2 at 5p,0,0,657,"[8300000.0,71606.0,2019.0,0.0,657.0]","[0.8324772553485833,1.4339386767562852,568.5110083957472,0.0,2.941864475819898]",0
29900000.0,117500.0,2017,bencina,chevrolet,tahoe lt 4wd 5.3,0,0,681,"[29900000.0,117500.0,2017.0,0.0,681.0]","[2.9989240885448964,2.3529843102374595,567.9478474166528,0.0,3.04932984479962]",0
37990000.0,146653.0,2020,bencina,chevrolet,silverado cc dcab 4x4 5.3,0,0,646,"[37990000.0,146653.0,2020.0,0.0,646.0]","[3.8103386663485157,2.936784749355354,568.7925888852944,0.0,2.8926095150375253]",2
35480000.0,49663.0,2022,bencina,chevrolet,silverado 5.3 lt trailboss z71 4x4,0,0,112,"[35480000.0,49663.0,2022.0,0.0,112.0]","[3.558589520453944,0.9945213599942379,569.3557498643888,0.0,0.501505055238704]",2
31390000.0,84674.0,2021,bencina,chevrolet,silverado 5.3 lt trailboss z71 4x4,0,0,112,"[31390000.0,84674.0,2021.0,0.0,112.0]","[3.148368800649642,1.6956305828514606,569.0741693748416,0.0,0.501505055238704]",2
28990000.0,142889.0,2021,bencina,chevrolet,silverado 5.3 lt trailboss z71 4x4,0,0,112,"[28990000.0,142889.0,2021.0,0.0,112.0]","[2.907652485850052,2.8614091498342153,569.0741693748416,0.0,0.501505055238704]",1
