marca,modelo,year,precio,kilometraje,combustible,ciudad,url,precio_num,km_num,year_limpio
chery,Tiggo Max 2.0l Awd,2023,15990000.0,53794.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2023-metropolitana-de-santiago-cod76927055.html,15997.0,537940.0,2023
chery,Tiggo 1.5t Glx 4x2 Cvt At 5p,2023,13490000.0,30054.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2023-metropolitana-de-santiago-cod77337575.html,13497.0,300540.0,2023
chery,Tiggo 1.5 Gls Mt 5p,2024,11790000.0,2413.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod76947454.html,11797.0,24130.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20590000.0,34731.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod77071443.html,20597.0,347310.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20790000.0,39882.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod77072581.html,20797.0,398820.0,2024
chery,Tiggo 2.0 Max At 4x4,2024,20590000.0,25829.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod77072587.html,20597.0,258290.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20590000.0,45469.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod77081591.html,20597.0,454690.0,2024
chery,Tiggo Gls Mt 1.5,2024,8480000.0,2812.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-antofagasta-cod77353086.html,84800000.0,28120.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20590000.0,25272.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-araucania-cod77091433.html,20597.0,252720.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20590000.0,37747.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-araucania-cod77103447.html,20597.0,377470.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20790000.0,23489.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-araucania-cod77141028.html,20797.0,234890.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20790000.0,23296.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-araucania-cod77271260.html,20797.0,232960.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20790000.0,36672.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-metropolitana-de-santiago-cod77041766.html,20797.0,366720.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,20790000.0,26596.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-metropolitana-de-santiago-cod77056562.html,20797.0,265960.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,19790000.0,27498.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-metropolitana-de-santiago-cod77056639.html,19797.0,274980.0,2024
chery,Tiggo 2.0 Tgdi Glx Pro Max Awd,2024,19790000.0,20149.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chery-tiggo-2024-metropolitana-de-santiago-cod77070262.html,19797.0,201490.0,2024
chevrolet,Captiva Ls,2018,14690000.0,67000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2018-metropolitana-de-santiago-cod71493567.html,14697.0,670000.0,2018
chevrolet,Captiva 1.5t Premier Fwd Mt 5p,2019,11990000.0,78225.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2019-metropolitana-de-santiago-cod77211004.html,11997.0,782250.0,2019
chevrolet,Captiva Lt 1.5,2020,15690000.0,49258.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2020-metropolitana-de-santiago-cod75922551.html,15697.0,492580.0,2020
chevrolet,Captiva Captiva 1.5 Premier,2021,16900000.0,23500.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2021-metropolitana-de-santiago-cod75898697.html,1697.0,235000.0,2021
chevrolet,Captiva 1.5t Premier Fwd Cvt At 5,2022,12990000.0,76313.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2022-antofagasta-cod77299023.html,12997.0,763130.0,2022
chevrolet,Captiva 1.5,2022,16900000.0,22000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2022-metropolitana-de-santiago-cod75904985.html,1697.0,220000.0,2022
chevrolet,Captiva 1.5t Premier Fwd Mt 5p,2022,12990000.0,14392.0,bencina,tarapaca,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2022-tarapaca-cod76640469.html,12997.0,143920.0,2022
chevrolet,Captiva 1.5t Premier Fwd Mt 5p,2022,9980000.0,38839.0,bencina,tarapaca,https://automoviles.emol.com/venta/autos/chevrolet-captiva-2022-tarapaca-cod77314095.html,99800000.0,388390.0,2022
