_id,antiguedad_auto,cat_combustible,categoria_precio,ciudad,combustible,es_ecologico,fecha_captura,foto_url,grupo,kilometraje,marca,modelo,precio,rango_kilometraje,tipo_marca,url,uso_anual_estimado,usuario,year
6a1c9207b2f827e18bad5101,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:33,,AutoTec,9000.0,mg,Rx5,15590000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VDGC-38_DIFOR,9000.0,Martin,2025
6a1c9207b2f827e18bad512f,1,1,Medio,santiago,diesel,0,2026-05-31 19:53:50,,AutoTec,4000.0,maxus,T60,18590000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VDZD-79_DIFOR,4000.0,Martin,2025
6a1c9206b2f827e18bad5068,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:49,,AutoTec,8790.0,chery,Tiggo 2 Pro,8990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VCGZ-39_DIFOR,8790.0,Martin,2025
6a1c9207b2f827e18bad50d6,1,0,Medio,santiago,bencina,0,2026-05-31 19:49:16,,AutoTec,14460.0,omoda,C5,14490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VCLG-27_DIFOR,14460.0,Martin,2025
6a1c9207b2f827e18bad50f8,1,0,Alto,santiago,bencina,0,2026-05-31 19:49:34,,AutoTec,11000.0,opel,Grandland,26490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VDJS-64_DIFOR,11000.0,Martin,2025
6a1c9208b2f827e18bad51cb,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:57,,AutoTec,18430.0,chery,Tiggo 7 Pro,13290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VFBC-54_DIFOR,18430.0,Martin,2025
6a1c9205b2f827e18bad5042,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:15,,AutoTec,8870.0,jaecoo,7,19990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VCDD-40_DIFOR,8870.0,Martin,2025
6a1c9207b2f827e18bad50f3,1,0,Alto,santiago,bencina,0,2026-05-31 19:53:32,,AutoTec,20718.0,ford,Bronco,49990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VCHF-85_DIFOR,20718.0,Martin,2025
6a1c9206b2f827e18bad50be,1,0,Medio,santiago,bencina,0,2026-05-31 19:51:41,,AutoTec,10306.0,jaecoo,7,16990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VCZX-82_DIFOR,10306.0,Martin,2025
6a1c9206b2f827e18bad5054,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:24,,AutoTec,20028.0,omoda,C5,11290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VFBC-67_DIFOR,20028.0,Martin,2025
6a1c9207b2f827e18bad50e2,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:24,,AutoTec,19700.0,omoda,C5,11290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VFBC-77_DIFOR,19700.0,Martin,2025
6a1c9208b2f827e18bad5199,1,0,Alto,santiago,bencina,0,2026-05-31 19:54:28,,AutoTec,55455.0,ford,F-150,53990000.0,Medio,generalista,https://www.difor.cl/autos-usados-chile/VFGL-51_DIFOR,55455.0,Martin,2025
6a1c9207b2f827e18bad50cd,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:14,,AutoTec,13799.0,jaecoo,7,18990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGRZ-11_DIFOR,13799.0,Martin,2025
6a1c9206b2f827e18bad5086,1,0,Alto,santiago,bencina,0,2026-05-31 19:51:04,,AutoTec,11102.0,peugeot,3008,22490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VFZT-58_DIFOR,11102.0,Martin,2025
6a1c9207b2f827e18bad5152,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:17,,AutoTec,19234.0,jaecoo,7,18490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGRZ-57_DIFOR,19234.0,Martin,2025
6a1c9207b2f827e18bad50fe,1,0,Medio,santiago,bencina,0,2026-05-31 19:49:35,,AutoTec,20325.0,omoda,C5,11290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGGT-61_DIFOR,20325.0,Martin,2025
6a1c9207b2f827e18bad5153,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:17,,AutoTec,14600.0,jaecoo,7,18490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGRZ-21_DIFOR,14600.0,Martin,2025
6a1c9207b2f827e18bad50ea,1,0,Alto,santiago,bencina,0,2026-05-31 19:53:25,,AutoTec,10400.0,ford,Territory,20990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VFZS-19_DIFOR,10400.0,Martin,2025
6a1c9208b2f827e18bad51a0,1,0,Medio,santiago,bencina,0,2026-05-31 19:54:35,,AutoTec,14296.0,jaecoo,7,18990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGRZ-81_DIFOR,14296.0,Martin,2025
6a1c9208b2f827e18bad51a8,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:31,,AutoTec,8780.0,omoda,C5,11990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VFLC-94_DIFOR,8780.0,Martin,2025
6a1c9207b2f827e18bad5165,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:33,,AutoTec,21825.0,omoda,C5,11290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGGK-42_DIFOR,21825.0,Martin,2025
6a1c9206b2f827e18bad5080,1,0,Medio,santiago,bencina,0,2026-05-31 19:51:03,,AutoTec,20192.0,omoda,C5,11290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGGB-14_DIFOR,20192.0,Martin,2025
6a1c9208b2f827e18bad51ac,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:38,,AutoTec,15230.0,chery,Tiggo 7 Pro,13690000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLF-97_DIFOR,15230.0,Martin,2025
6a1c9207b2f827e18bad5104,1,1,Alto,santiago,diesel,0,2026-05-31 19:53:40,,AutoTec,9900.0,citroen,Jumper,27490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHDW-92_DIFOR,9900.0,Martin,2025
6a1c9208b2f827e18bad5191,1,0,Medio,santiago,bencina,0,2026-05-31 19:54:21,,AutoTec,18793.0,omoda,C5,11990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLG-30_DIFOR,18793.0,Martin,2025
6a1c9207b2f827e18bad5166,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:33,,AutoTec,15286.0,jaecoo,7,15990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VGRZ-84_DIFOR,15286.0,Martin,2025
6a1c9208b2f827e18bad5172,1,0,Medio,santiago,bencina,0,2026-05-31 19:54:04,,AutoTec,21510.0,chery,Tiggo 7 Pro,13390000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLD-95_DIFOR,21510.0,Martin,2025
6a1c9208b2f827e18bad5174,1,0,Alto,santiago,bencina,0,2026-05-31 19:54:04,,AutoTec,5099.0,ford,F-150 Raptor,84990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHFJ-66_DIFOR,5099.0,Martin,2025
6a1c9206b2f827e18bad5052,1,0,Alto,santiago,bencina,0,2026-05-31 19:52:23,,AutoTec,13101.0,ford,F-150,56990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHFK-45_DIFOR,13101.0,Martin,2025
6a1c9207b2f827e18bad50ef,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:31,,AutoTec,25810.0,omoda,C5,12290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLH-51_DIFOR,25810.0,Martin,2025
6a1c9206b2f827e18bad50ba,1,0,Medio,santiago,bencina,0,2026-05-31 19:51:41,,AutoTec,18059.0,omoda,C5,12290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLL-62_DIFOR,18059.0,Martin,2025
6a1c9208b2f827e18bad517e,1,0,Medio,santiago,bencina,0,2026-05-31 19:54:12,,AutoTec,22156.0,omoda,C5,12290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLL-91_DIFOR,22156.0,Martin,2025
6a1c9205b2f827e18bad5029,1,0,Medio,santiago,bencina,0,2026-05-31 19:51:58,,AutoTec,12785.0,ford,Territory,18990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHRR-12_DIFOR,12785.0,Martin,2025
6a1c9208b2f827e18bad519a,1,0,Medio,santiago,bencina,0,2026-05-31 19:54:28,,AutoTec,15646.0,omoda,C5,11290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHYJ-11_DIFOR,15646.0,Martin,2025
6a1c9206b2f827e18bad5091,1,0,Alto,santiago,bencina,0,2026-05-31 19:51:10,,AutoTec,9083.0,ford,Bronco,49990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHSC-17_DIFOR,9083.0,Martin,2025
6a1c9205b2f827e18bad5048,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:16,,AutoTec,15952.0,omoda,C5,11990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLS-22_DIFOR,15952.0,Martin,2025
6a1c9207b2f827e18bad50d9,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:23,,AutoTec,18555.0,hyundai,Grand I10,10490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHPJ-10_DIFOR,18555.0,Martin,2025
6a1c9207b2f827e18bad50d5,1,0,Medio,santiago,bencina,0,2026-05-31 19:53:23,,AutoTec,17114.0,mg,Rx5,13990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VJJT-61_DIFOR,17114.0,Martin,2025
6a1c9205b2f827e18bad503d,0,0,Medio,santiago,bencina,0,2026-05-31 19:52:07,,AutoTec,5000.0,opel,Corsa,13990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VKDR-21_DIFOR,,Martin,2026
6a1c9205b2f827e18bad5032,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:00,,AutoTec,20254.0,omoda,C5,11990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLS-50_DIFOR,20254.0,Martin,2025
6a1c9206b2f827e18bad506c,1,0,Medio,santiago,bencina,0,2026-05-31 19:50:49,,AutoTec,5000.0,peugeot,2008,15990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VKDR-39_DIFOR,5000.0,Martin,2025
6a1c9208b2f827e18bad51bc,1,0,Medio,santiago,bencina,0,2026-05-31 19:52:48,,AutoTec,21645.0,omoda,C5,11990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VHLT-41_DIFOR,21645.0,Martin,2025
6a1c9206b2f827e18bad5060,0,0,Medio,santiago,bencina,0,2026-05-31 19:50:41,,AutoTec,7782.0,volkswagen,T-cross,16990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VKVP-57_DIFOR,,Martin,2026
6a1c9205b2f827e18bad502d,0,0,Medio,santiago,bencina,0,2026-05-31 19:51:59,,AutoTec,8540.0,omoda,C5,14990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VLXK-79_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50e3,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:25,,AutoTec,1000.0,jaecoo,5,12790000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-72_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50e5,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:25,,AutoTec,1000.0,jaecoo,5,12790000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-91_DIFOR,,Martin,2026
