y_real,y_predicho
14980000.0,17214582.50215115
15400000.0,17527164.258812204
18900000.0,13328480.86155458
18380000.0,17617791.955573365
23990000.0,26270711.660623863
16000000.0,9884114.616198463
11900000.0,12925032.190359032
8950000.0,9803819.407751776
12450000.0,11501913.880806942
17490000.0,15691640.95106885
8990000.0,11515892.934125263
11690000.0,10942377.896309135
6990000.0,10816259.63574295
29950000.0,43901515.02760952
8490000.0,13160372.005483411
15890000.0,10723391.959437553
12790000.0,10155294.38352497
6780000.0,9015123.090933735
9100000.0,10492291.861366576
12490000.0,12048993.086787816
12990000.0,13186674.714286322
10990000.0,10222859.887884445
22950000.0,26562483.037479
10690000.0,14732194.706431532
13490000.0,11397539.729947636
22890000.0,27215503.09053231
15990000.0,13497179.113958288
9490000.0,11102675.645786092
11790000.0,8933962.67670683
12450000.0,20226089.490660757
10490000.0,16660238.87621192
12190000.0,12185071.739238115
21990000.0,28686474.315127123
21990000.0,30964077.41965708
6790000.0,8362508.836229499
18990000.0,14026420.6285183
12950000.0,12592946.705888573
21990000.0,34018141.50805214
12990000.0,11054631.677805252
11290000.0,13882055.898620944
18950000.0,12259562.372888153
39900000.0,23275906.129945207
12300000.0,13414840.198105719
10990000.0,12514701.702769184
5980000.0,9383973.794929776
11990000.0,13162381.121878004
3290000.0,4426603.5955056045
12980000.0,11498405.896530598
9900000.0,12345448.538234713
7900000.0,10660957.970794829
8980000.0,12448924.98353286
15990000.0,12317158.681767812
10990000.0,11286010.224451339
15350000.0,13373115.580307625
18590000.0,17344725.25424967
7790000.0,9635208.95906795
18390000.0,13348101.391525552
9990000.0,12178691.651791722
34990000.0,26576064.373309966
14890000.0,14947590.846396863
58970000.0,39606033.03153603
6180000.0,9473300.49877744
7690000.0,8173724.580755518
8490000.0,9372749.698371723
48990000.0,38076091.06851276
8990000.0,9974260.744672265
21990000.0,22725461.319021095
7990000.0,10000516.428959524
10900000.0,10028300.716810409
7350000.0,6888765.01614414
9990000.0,10037992.753913283
