y_real,y_predicho
13900000.0,14308550.0
16970000.0,13546290.0
8290000.0,11893800.0
11980000.0,11926749.7
10190000.0,11731100.0
22990000.0,26379600.0
33990000.0,31436800.0
10990000.0,10774850.0
11545000.0,14444950.0
20190000.0,24585650.0
12500000.0,15723450.0
7690000.0,8571200.0
17000000.0,10162799.9
12500000.0,14267350.0
13490000.0,12835600.0
10190000.0,10610650.0
24900000.0,26412550.0
15590000.0,15304825.0
14900000.0,15171250.0
38990000.0,35292000.0
10980000.0,12624249.75
13490000.0,12468950.0
15990000.0,18159500.0
6450000.0,11214399.5
6990000.0,8663049.9
7790000.0,9850049.85
8970000.0,8659850.0
19999000.0,16866490.0
27990000.0,24665500.0
13395000.0,14683375.0
34990000.0,35233650.0
8490000.0,9889850.0
12580000.0,12876749.85
14390000.0,14255050.0
24970000.0,28071500.0
21800000.0,25439150.0
11490000.0,13664649.95
11490000.0,10648200.0
10990000.0,12175550.0
17990000.0,15648500.0
7950000.0,10027300.0
8490000.0,9016950.0
24950000.0,27530650.0
15990000.0,11801500.0
10980000.0,12335950.0
7000000.0,9469299.9
16950000.0,13484575.0
13490000.0,13202499.95
27900000.0,25875650.0
14990000.0,15004599.95
19990000.0,18059000.0
15990000.0,13410700.0
16690000.0,15097000.0
7290000.0,8369249.95
16190000.0,17914799.65
6290000.0,8824150.0
21490000.0,21685650.0
34990000.0,36310250.0
9990000.0,9020996.45
14990000.0,15540349.95
10900000.0,11446949.95
10990000.0,9912049.4
17800000.0,11117649.8
18890000.0,16387999.9
11990000.0,11724599.75
29300000.0,26973900.0
11890000.0,12871250.0
10290000.0,8184550.0
12900000.0,13500350.0
6790000.0,8839799.7
15900000.0,12088999.95
11990000.0,11917074.95
16500000.0,11377650.0
6990000.0,8542950.0
8500000.0,10989050.0
3680000.0,4027250.0
11290000.0,13061950.0
17950000.0,13470531.0
25990000.0,23898550.0
7990000.0,8454450.0
35970000.0,23368050.0
